Lat,Lon,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14
-87.765482,41.900253,85,,,,,,,,,,,,,
-87.768186,41.902045,70,,,,,,,,,,,,,
-87.765525,41.902214,70,,,,,,,,,,,,,
-87.765862,41.905894,85,,,,,,,,,,,,,
-87.765784,41.904025,85,,,,,,,,,,,,,
-87.765932,41.907697,85,,,,,,,,,,,,,
-87.76571,41.912365,85,,,,,,,,,,,,,
-87.768162,41.919251,65,,,,,,,,,,,,,
-87.766343,41.931366,85,,,,,,,,,,,,,
-87.766777,41.93864,77,,,,,,,,,,,,,
-87.76663,41.945945,152,,,,,,,,,,,,,
-87.766681,41.953094,80,,,,,,,,,,,,,
-87.764582,41.953256,80,,,,,,,,,,,,,
-87.767189,41.956907,85,,,,,,,,,,,,,
-87.767006,41.95695,85,,,,,,,,,,,,,
-87.766875,41.960417,78,,,,,,,,,,,,,
-87.764651,41.960635,78,,,,,,,,,,,,,
-87.767566,41.967888,85,,,,,,,,,,,,,
-87.767387,41.967686,85,,,,,,,,,,,,,
-87.767358,41.966318,85,,,,,,,,,,,,,
-87.76765,41.970152,85,,,,,,,,,,,,,
-87.768025,41.975791,56A,85,85A,,,,,,,,,,,
-87.7666,41.9887,85A,,,,,,,,,,,,,
-87.763907,41.774448,165,,,,,,,,,,,,,
-87.764802,41.872566,12,85,,,,,,,,,,,,
-87.761708,41.938573,77,,,,,,,,,,,,,
-87.762259,41.945992,152,,,,,,,,,,,,,
-87.762416,41.96048,78,,,,,,,,,,,,,
-87.76246,41.967717,81W,91,,,,,,,,,,,,
-87.760556,41.967765,56,,,,,,,,,,,,,
-87.763275,41.970521,85,88,,,,,,,,,,,,
-87.762435,41.9703,85,,,,,,,,,,,,,
-87.762284,41.995348,84,,,,,,,,,,,,,
-87.760567,41.74888,79,,,,,,,,,,,,,
-87.760007,41.754323,54B,79,,,,,,,,,,,,
-87.760844,41.757294,54B,,,,,,,,,,,,,
-87.757523,41.79275,55A,55N,,,,,,,,,,,,
-87.760364,41.796116,62,62H,,,,,,,,,,,,
-87.759261,41.865768,12,,,,,,,,,,,,,
-87.75752,41.872855,7,,,,,,,,,,,,,
-87.75779,41.880252,20,,,,,,,,,,,,,
-87.757965,41.895001,66,,,,,,,,,,,,,
-87.757966,41.909533,72,,,,,,,,,,,,,
-87.758963,41.931314,76,,,,,,,,,,,,,
-87.756514,41.931345,76,,,,,,,,,,,,,
-87.757885,41.975163,92,,,,,,,,,,,,,
-87.75497,41.796957,62,62H,,,,,,,,,,,,
-87.752959,41.871027,57,,,,,,,,,,,,,
-87.754959,41.87583,57,,,,,,,,,,,,,
-87.754699,41.873897,57,,,,,,,,,,,,,
-87.754491,41.872883,7,,,,,,,,,,,,,
-87.75524,41.87673,126,,,,,,,,,,,,,
-87.755037,41.876787,57,,,,,,,,,,,,,
-87.755334,41.880468,20,,,,,,,,,,,,,
-87.755053,41.879466,57,,,,,,,,,,,,,
-87.754952,41.880134,57,,,,,,,,,,,,,
-87.754917,41.879313,57,,,,,,,,,,,,,
-87.755267,41.887097,57,,,,,,,,,,,,,
-87.755529,41.891328,57,,,,,,,,,,,,,
-87.755795,41.900494,57,,,,,,,,,,,,,
-87.755969,41.907763,57,,,,,,,,,,,,,
-87.755531,41.909608,72,,,,,,,,,,,,,
-87.755692,41.913066,57,,,,,,,,,,,,,
-87.753515,41.916784,65,,,,,,,,,,,,,
-87.753105,41.958893,56,,,,,,,,,,,,,
-87.754282,41.960513,56,,,,,,,,,,,,,
-87.754441,42.026419,97,,,,,,,,,,,,,
-87.751649,42.026352,97,,,,,,,,,,,,,
-87.751308,41.74892,79,,,,,,,,,,,,,
-87.750882,41.749043,79,,,,,,,,,,,,,
-87.751143,41.909454,72,,,,,,,,,,,,,
-87.749456,41.915224,65,,,,,,,,,,,,,
-87.749732,41.916952,73,,,,,,,,,,,,,
-87.751597,41.924271,74,,,,,,,,,,,,,
-87.751326,41.924086,74,,,,,,,,,,,,,
-87.751686,41.938825,77,,,,,,,,,,,,,
-87.747739,41.959939,54,,,,,,,,,,,,,
-87.750639,41.967933,81,,,,,,,,,,,,,
-87.749847,41.968072,81,,,,,,,,,,,,,
-87.747949,41.971754,54A,,,,,,,,,,,,,
-87.748125,41.975468,54A,,,,,,,,,,,,,
-87.748375,41.985692,54A,,,,,,,,,,,,,
-87.748412,41.993077,54A,,,,,,,,,,,,,
-87.748408,41.995689,54A,,,,,,,,,,,,,
-87.747792,42.018898,54A,,,,,,,,,,,,,
-87.749438,42.03702,97,,,,,,,,,,,,,
-87.747202,42.037098,54A,,,,,,,,,,,,,
-87.747054,42.0426,54A,97,,,,,,,,,,,,
-87.748953,41.748948,79,,,,,,,,,,,,,
-87.745219,41.798509,62,62H,,,,,,,,,,,,
-87.744793,41.872224,57,,,,,,,,,,,,,
-87.745083,41.874132,54,,,,,,,,,,,,,
-87.747518,41.880571,20,,,,,,,,,,,,,
-87.745371,41.880232,54,,,,,,,,,,,,,
-87.745279,41.879586,54,,,,,,,,,,,,,
-87.745173,41.880347,54,,,,,,,,,,,,,
-87.745486,41.884527,54,,,,,,,,,,,,,
-87.745438,41.883208,54,,,,,,,,,,,,,
-87.745983,41.909449,54,,,,,,,,,,,,,
-87.746164,41.915189,54,,,,,,,,,,,,,
-87.746023,41.918696,54,,,,,,,,,,,,,
-87.746396,41.922509,54,,,,,,,,,,,,,
-87.746739,41.931637,54,,,,,,,,,,,,,
-87.744016,41.93163,76,,,,,,,,,,,,,
-87.747199,41.938892,77,,,,,,,,,,,,,
-87.744416,41.946235,152,,,,,,,,,,,,,
-87.747329,41.949835,54,,,,,,,,,,,,,
-87.74711,41.951514,54,,,,,,,,,,,,,
-87.747527,41.953326,80,,,,,,,,,,,,,
-87.74518,41.960674,78,,,,,,,,,,,,,
-87.747548,41.968229,54A,,,,,,,,,,,,,
-87.744402,41.975331,92,,,,,,,,,,,,,
-87.746238,42.026334,97,,,,,,,,,,,,,
-87.743902,42.026198,97,,,,,,,,,,,,,
-87.741548,41.760065,54B,,,,,,,,,,,,,
-87.744527,41.774591,165,,,,,,,,,,,,,
-87.742459,41.778589,54B,63W,165,,,,,,,,,,,
-87.743057,41.798292,47,54B,N62,,,,,,,,,,,
-87.742782,41.799048,47,,,,,,,,,,,,,
-87.740831,41.807591,47,,,,,,,,,,,,,
-87.743366,41.822327,54B,,,,,,,,,,,,,
-87.743503,41.834898,54B,,,,,,,,,,,,,
-87.743678,41.83839,54B,,,,,,,,,,,,,
-87.743787,41.84287,54B,,,,,,,,,,,,,
-87.744278,41.849466,54,54B,N60,,,,,,,,,,,
-87.744112,41.851134,54,54B,,,,,,,,,,,,
-87.744453,41.854867,54,,,,,,,,,,,,,
-87.743422,41.858261,18,,,,,,,,,,,,,
-87.740602,41.8586,18,,,,,,,,,,,,,
-87.744402,41.860499,54,,,,,,,,,,,,,
-87.740824,41.873249,7,,,,,,,,,,,,,
-87.742807,41.876927,126,,,,,,,,,,,,,
-87.743575,41.894978,66,,,,,,,,,,,,,
-87.743612,41.917025,73,,,,,,,,,,,,,
-87.741837,41.91705,73,,,,,,,,,,,,,
-87.739858,41.917064,73,,,,,,,,,,,,,
-87.740787,41.953397,54A,80,,,,,,,,,,,,
-87.74056,41.975445,92,,,,,,,,,,,,,
-87.741957,41.990038,84,,,,,,,,,,,,,
-87.739921,42.02629,97,,,,,,,,,,,,,
-87.74023,42.055183,205,,,,,,,,,,,,,
-87.738794,41.749304,79,,,,,,,,,,,,,
-87.741205,41.754438,54B,,,,,,,,,,,,,
-87.738259,41.778412,63,,,,,,,,,,,,,
-87.73897,41.786274,63,,,,,,,,,,,,,
-87.738924,41.786322,63W,165,,,,,,,,,,,,
-87.737458,41.843987,60,,,,,,,,,,,,,
-87.7375,41.865927,12,,,,,,,,,,,,,
-87.739488,41.873205,7,,,,,,,,,,,,,
-87.739347,41.876857,126,,,,,,,,,,,,,
-87.736036,41.902554,70,,,,,,,,,,,,,
-87.738624,41.917083,73,,,,,,,,,,,,,
-87.736172,41.917109,73,,,,,,,,,,,,,
-87.737941,41.953632,54A,80,,,,,,,,,,,,
-87.735338,41.96824,81,,,,,,,,,,,,,
-87.735703,41.975396,92,,,,,,,,,,,,,
-87.736348,41.749349,79,,,,,,,,,,,,,
-87.732875,41.778602,63,,,,,,,,,,,,,
-87.732661,41.793048,55,,,,,,,,,,,,,
-87.735469,41.799925,62,,,,,,,,,,,,,
-87.733223,41.800091,62,,,,,,,,,,,,,
-87.735612,41.807658,47,,,,,,,,,,,,,
-87.733348,41.807808,47,,,,,,,,,,,,,
-87.734346,41.836408,53,,,,,,,,,,,,,
-87.732438,41.851281,21,,,,,,,,,,,,,
-87.733124,41.880531,20,,,,,,,,,,,,,
-87.735798,41.895112,66,,,,,,,,,,,,,
-87.734225,41.924337,74,,,,,,,,,,,,,
-87.734197,41.93177,76,,,,,,,,,,,,,
-87.734487,41.939059,77,,,,,,,,,,,,,
-87.732691,41.953482,54A,80,,,,,,,,,,,,
-87.732841,41.968268,81,,,,,,,,,,,,,
